Artifact,Untargeted Proportion,Targeted Proportion,Targeted Percentage Increase,Untargeted Drops,Targeted Drops
T2 Dilithium monocle,1.66,7.61,4.6,"2,097,621","131,112"
T3 Dilithium monocle,0.57,2.35,4.15,"715,491","40,418"
T4 Dilithium monocle,0.0,0.0,0.99,"1,186",16
T1 Titanium actuator,1.6,2.62,1.63,"2,028,634","2,678"
T2 Titanium actuator,1.66,7.67,4.64,"2,095,802","7,849"
T3 Titanium actuator,0.55,2.32,4.22,"695,381","2,369"
T4 Titanium actuator,0.02,0.05,3.05,"20,293",50
T1 Mercurys lens,N/A,2.35,N/A,Doesn't Drop,"15,756"
T2 Mercurys lens,1.02,5.48,5.35,"1,297,349","36,787"
T3 Mercurys lens,1.91,8.24,4.31,"2,421,752","55,280"
T4 Mercurys lens,0.03,0.11,3.68,"39,324",766
T1 Dilithium stone,0.64,0.83,1.3,"814,292","8,977"
T2 Dilithium stone,0.32,1.34,4.2,"404,456","14,444"
T3 Dilithium stone,N/A,0.0,N/A,Doesn't Drop,0
T1 Shell stone,N/A,0.61,N/A,Doesn't Drop,141
T2 Shell stone,0.61,3.71,6.06,"775,667",861
T3 Shell stone,0.05,0.1,2.09,"62,596",24
T1 Lunar stone,N/A,0.64,N/A,Doesn't Drop,385
T2 Lunar stone,0.69,3.61,5.2,"878,574","2,173"
T3 Lunar stone,0.03,0.08,2.62,"39,330",49
T1 Soul stone,0.28,0.63,2.23,"360,695","6,499"
T2 Soul stone,0.31,1.43,4.56,"395,540","14,610"
T3 Soul stone,0.02,0.05,2.99,"22,751",550
T1 Quantum stone,0.36,0.63,1.76,"451,601",754
T2 Quantum stone,0.73,3.52,4.85,"920,687","4,229"
T3 Quantum stone,0.02,0.02,1.44,"21,256",29
T1 Terra stone,0.29,0.6,2.11,"361,418",172
T2 Terra stone,0.74,3.78,5.14,"930,799","1,080"
T3 Terra stone,0.0,N/A,N/A,"1,563",Doesn't Drop
T1 Life stone,0.45,0.69,1.53,"569,344","1,391"
T2 Life stone,0.45,2.04,4.5,"574,077","4,129"
T3 Life stone,0.0,N/A,N/A,517,Doesn't Drop
T1 Prophecy stone,0.4,1.87,4.74,"500,262","331,807"
T2 Prophecy stone,0.02,0.07,3.54,"25,142","12,472"
T3 Prophecy stone,N/A,0.0,N/A,Doesn't Drop,0
T1 Clarity stone,0.55,1.81,3.26,"701,481","29,632"
T2 Clarity stone,0.05,0.18,3.4,"65,614","2,890"
T3 Clarity stone,N/A,0.0,N/A,Doesn't Drop,0
T1 Solar titanium,N/A,5.24,N/A,Doesn't Drop,"116,743"
T2 Solar titanium,4.02,17.74,4.42,"5,086,530","395,305"
T3 Solar titanium,0.68,2.33,3.44,"856,922","51,841"
T4 Solar titanium,N/A,0.0,N/A,Doesn't Drop,0
T1 Dilithium stone fragment,0.64,3.35,5.19,"816,382",431
T2 Dilithium stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Dilithium stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Shell stone fragment,N/A,2.75,N/A,Doesn't Drop,252
T2 Shell stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Shell stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Lunar stone fragment,N/A,4.2,N/A,Doesn't Drop,226
T2 Lunar stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Lunar stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Soul stone fragment,N/A,3.15,N/A,Doesn't Drop,329
T2 Soul stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Soul stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Prophecy stone fragment,2.58,3.77,1.46,"3,264,958","6,759"
T2 Prophecy stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Prophecy stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Quantum stone fragment,N/A,3.01,N/A,Doesn't Drop,146
T2 Quantum stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Quantum stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Terra stone fragment,0.73,3.17,4.37,"918,905",116
T2 Terra stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Terra stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Life stone fragment,0.81,3.39,4.19,"1,023,583",63
T2 Life stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Life stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Clarity stone fragment,2.38,3.84,1.62,"3,010,223",545
T2 Clarity stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Clarity stone fragment,N/A,0.0,N/A,Doesn't Drop,0
